parcel,pvalue,statistic,fdr
1,0.19081298650082215,12.527192349289816,0.36123066193920145
2,0.0400180067777192,17.736269123466002,0.10261027378902361
3,0.0051200949259125016,23.67094013935147,0.022261282286576093
4,0.5924850629173692,7.515185839276363,0.7053393606159157
5,0.01689921139359408,20.306005108613206,0.04957820106999027
6,0.0014952047234320818,26.979514733685455,0.011320187826575925
7,0.028983669797819984,18.715253944359223,0.07833424269681076
8,0.0012269532416961794,27.499429304190908,0.010224610347468162
9,0.0133723974012101,20.98087562759245,0.04178874187878156
10,0.43723870283565613,9.094718699979056,0.5829849371142082
11,0.22814795610726163,11.851089655970895,0.3802465935121027
12,0.12775934132007546,13.966127927460736,0.2607333496328071
13,0.08173860031347534,15.47251154625152,0.1816413340299452
14,2.1168913874427083e-4,32.01198561940509,0.002352101541603009
15,1.763515419177398e-4,32.4715427506678,0.0022043942739717473
16,0.016472229033426173,20.38020552593595,0.04957820106999027
17,0.06279482553957946,16.325970885078835,0.15315811107214503
18,0.4827640826121743,8.611181232495396,0.6189283110412491
19,0.32429596449090436,10.43280190018448,0.4913575219559157
20,0.27911512007279127,11.054395092801323,0.4430398731314147
21,0.002601112948505217,25.507706446077673,0.014342508956173878
22,0.5201656819751103,8.229036183701318,0.6482206024000067
23,0.004580927280091573,23.97579581496128,0.021051500919797697
24,0.2020037850485198,12.314274691254644,0.36123066193920145
25,0.26456814790914696,11.269844186904338,0.4337182752608967
26,0.045952536615955525,17.309196095956267,0.11488134153988881
27,0.7359914824739606,6.115952431980028,0.8419688888818598
28,0.7276063852403559,6.1997603380296695,0.8419688888818598
29,1.0065458340881415e-5,39.50478967051161,2.516364585220354e-4
30,0.011173897818741722,21.493194563353462,0.039365312715950077
31,0.2022891706859528,12.308969580704284,0.36123066193920145
32,0.20924007008518045,12.181557858006029,0.3634557987405736
33,0.6527826336874601,6.931578500615647,0.7679795690440708
34,0.8447046726985722,4.947651685957515,0.9082845942995399
35,0.926158230637316,3.82463360685107,0.9355133642801172
36,0.007003899015971522,22.80541504568942,0.026938073138352007
37,0.22327143616041795,11.93420924990156,0.3784261629837592
38,0.4463003786316628,8.996560059924734,0.5872373403048194
39,0.1995121645746855,12.360847804816606,0.36123066193920145
40,0.4201249972256392,9.283079558613714,0.5677364827373502
41,0.5107476440192285,8.32420572436176,0.646516005087631
42,0.7409326222160366,6.066306532744395,0.8419688888818598
43,0.11482260684749372,14.334173448169825,0.24430341882445472
44,0.468594870100253,8.759234559483733,0.608564766363965
45,0.15001938815542998,13.401426098652715,0.2941556630498627
46,0.28759597489414707,10.932542338825058,0.4493687107721048
47,0.3975866406070423,9.537764103613082,0.5481900267444143
48,0.8584482170092177,4.781665321121,0.9084546278597517
49,0.008453299876565392,22.28034280878668,0.031308518061353305
50,0.11978364046777966,14.189008892862365,0.24954925097454098
51,6.118129009619242e-4,29.308047097754446,0.006118129009619242
52,0.03388129547552742,18.24432466587715,0.0891613038829669
53,0.004631330202355493,23.945872325259437,0.021051500919797697
54,0.3906823964159109,9.617445721836727,0.5481900267444143
55,0.0017545402524352257,26.556836208235257,0.011696935016234838
56,0.011415940687625524,21.43230774498904,0.039365312715950077
57,0.0131040695463426,21.038925077999505,0.04178874187878156
58,0.003988436234089029,24.35349766076959,0.019942181170445147
59,0.06837658476788275,16.05283133217211,0.16280139230448273
60,0.0025843768257113233,25.52501018977964,0.014342508956173878
61,0.14517893754932878,13.517880518673508,0.29035787509865757
62,0.10003054671162276,14.801850193493308,0.21745771024265817
